X,Lagrange,Newton,Spline2,Spline3,Spline4,Spline7
0.5,0.018,0.018,0.018000000000000016,0.018000000000000127,0.01800000000000007,0.01799999999999846
0.501,0.09102336697740318,0.09102336697740318,0.0171486666666667,0.016886175111111346,0.017089749156395162,0.01830870790482675
0.502,0.1637759591395278,0.16377595913952783,0.01629733333333333,0.015772700444444565,0.016179441251160553,0.01861396835334783
0.503,0.23625837136146846,0.23625837136146846,0.015446000000000015,0.01465957600000023,0.015269076556000072,0.01891578644363523
0.504,0.30847119758594527,0.3084711975859453,0.0145946666666667,0.013546801777778006,0.014358655342617377,0.019214167269789306
0.505,0.38041503082439637,0.38041503082439654,0.01374333333333333,0.012434377777777894,0.013448177882716128,0.019509115921938602
0.506,0.4520904631580716,0.45209046315807144,0.012892000000000015,0.011322304000000227,0.01253764444800004,0.019800637486242056
0.507,0.5234980857391208,0.5234980857391212,0.0120406666666667,0.010210580444444672,0.011627055310172885,0.020088737044889782
0.508,0.5946384887916872,0.5946384887916873,0.011189333333333329,0.00909920711111123,0.01071641074093832,0.020373419676107285
0.509,0.6655122616129935,0.6655122616129934,0.010338000000000014,0.007988184000000231,0.009805711012000062,0.02065469045415458
0.51,0.7361199925744331,0.7361199925744328,0.009486666666666699,0.006877511111111345,0.00889495639506177,0.020932554449329288
0.511,0.8064622691226528,0.8064622691226528,0.008635333333333328,0.005767188444444571,0.007984147161827215,0.02120701672796843
0.512,0.8765396777806446,0.8765396777806451,0.007784000000000013,0.004657216000000131,0.007073283584000056,0.021478082352450967
0.513,0.9463528041488299,0.9463528041488298,0.006932666666666698,0.003547593777778024,0.006162365933284009,0.02174575638119769
0.514,1.015902232906137,1.0159022329061371,0.0060813333333333275,0.0024383217777779187,0.005251394481382787,0.022010043868675
0.515,1.0851885478110943,1.0851885478110945,0.005230000000000012,0.0013294000000001471,0.0043403695000001075,0.022270949865395573
0.516,1.1542123317029072,1.1542123317029072,0.004378666666666697,2.208284444447095E-4,0.0034292912608396287,0.022528479417920577
0.517,1.222974166502539,1.2229741665025398,0.0035273333333333268,-8.873928888887272E-4,0.0025181600356050104,0.022782637568861674
0.518,1.2914746332137972,1.2914746332137967,0.0026760000000000117,-0.00199526399999983,0.001606976096000079,0.023033429356882573
0.519,1.3597143119244028,1.3597143119244024,0.0018246666666666966,-0.00310278488888871,6.957397137284937E-4,0.023280859816700694
0.52,1.4276937818070814,1.4276937818070807,9.733333333333261E-4,-0.004209955555555367,-2.155488395060856E-4,0.02352493397908928
0.521,1.4954136211206288,1.495413621120629,1.2200000000001099E-4,-0.005316775999999801,-0.0011268892919998885,0.023765656870879726
0.522,1.5628744072109995,1.5628744072109995,-7.293333333333596E-4,-0.006423246222222012,-0.002038281372049311,0.024003033514962246
0.523,1.6300767165123735,1.6300767165123726,-0.0015806666666666747,-0.007529366222222111,-0.0029497248079505267,0.024237068930288097
0.524,1.69702112454823,1.6970211245482287,-0.0024319999999999897,-0.008635135999999766,-0.003861219327999932,0.024467768131872125
0.525,1.763708205932432,1.7637082059324314,-0.0032833333333333603,-0.009740555555555308,-0.004772764660493756,0.02469513613079377
0.526,1.8301385343702907,1.8301385343702907,-0.004134666666666675,-0.010845624888888739,-0.005684360533728339,0.024919177934199177
0.527,1.8963126826596355,1.8963126826596364,-0.0049859999999999904,-0.011950343999999835,-0.00659600667599991,0.025139898545303185
0.528,1.9622312226918954,1.9622312226918948,-0.005837333333333361,-0.013054712888888709,-0.007507702815604866,0.02535730296339067
0.529,2.0278947254531574,2.0278947254531565,-0.006688666666666676,-0.01415873155555547,-0.008419448680839436,0.025571396183818762
0.53,2.0933037610252394,2.093303761025239,-0.007539999999999991,-0.015262399999999787,-0.009331243999999905,0.025782183198018838
0.531,2.1584588985867668,2.1584588985867654,-0.008391333333333362,-0.016365718222221992,-0.010243088501382669,0.025989668993497972
0.532,2.2233607064142245,2.2233607064142236,-0.009242666666666677,-0.017468686222222085,-0.011154981913283901,0.026193858553840266
0.533,2.2880097518830373,2.2880097518830365,-0.010093999999999992,-0.018571303999999844,-0.012066923963999943,0.026394756858709845
0.534,2.352406601468624,2.3524066014686245,-0.010945333333333362,-0.01967357155555549,-0.012978914381827078,0.02659236888385219
0.535,2.416551820747473,2.4165518207474728,-0.011796666666666678,-0.020775488888888805,-0.013890952895061648,0.026786699601095587
0.536,2.4804459743981964,2.4804459743981964,-0.012647999999999993,-0.021877055999999784,-0.014803039231999937,0.02697775397835278
0.537,2.544089626202593,2.5440896262025943,-0.013499333333333363,-0.022978272888888762,-0.01571517312093823,0.027165536979623872
0.538,2.6074833390467194,2.607483339046719,-0.014350666666666678,-0.024079139555555407,-0.016627354290172758,0.027350053564997312
0.539,2.6706276749219384,2.6706276749219384,-0.015201999999999993,-0.025179655999999828,-0.017539582467999915,0.02753130869065179
0.54,2.7335231949259873,2.733523194925987,-0.016053333333333364,-0.026279822222222138,-0.018451857382715986,0.02770930730885801
0.541,2.7961704592640273,2.7961704592640286,-0.01690466666666668,-0.027379638222222114,-0.0193641787626172,0.027884054367980915
0.542,2.8585700272497214,2.858570027249722,-0.017755999999999994,-0.028479103999999866,-0.020276546335999956,0.0280555548124809
0.543,2.920722457306261,2.920722457306259,-0.018607333333333365,-0.029578219555555507,-0.021188959831160425,0.028223813582916257
0.544,2.982628306967444,2.982628306967444,-0.01945866666666668,-0.030676984888888703,-0.02210141897639495,0.02838883561594452
0.545,3.0442881328787363,3.0442881328787355,-0.020309999999999995,-0.03177539999999979,-0.023013923499999922,0.02855062584432433
0.546,3.1057024907982895,3.1057024907982904,-0.021161333333333365,-0.03287346488888876,-0.02392647313027152,0.02870918919691745
0.547,3.166871935598043,3.1668719355980413,-0.02201266666666668,-0.0339711795555554,-0.02483906759550608,0.028864530598690652
0.548,3.2277970212647302,3.2277970212647302,-0.022863999999999995,-0.03506854399999981,-0.025751706623999893,0.02901665497071715
0.549,3.2884783009009646,3.288478300900965,-0.023715333333333366,-0.036165558222222116,-0.026664389944049294,0.029165567230178824
0.55,3.3489163267262714,3.3489163267262714,-0.02456666666666668,-0.037262222222222086,-0.027577117283950514,0.02931127229036734
0.551,3.4091116500781387,3.40911165007814,-0.025417999999999996,-0.03835853599999983,-0.028489888371999894,0.029453775060686804
0.552,3.4690648214130784,3.4690648214130784,-0.026269333333333367,-0.03945449955555547,-0.02940270293649372,0.02959308044665543
0.553,3.5287763903076486,3.528776390307648,-0.027120666666666682,-0.04055011288888877,-0.03031556070572833,0.029729193349906646
0.554,3.5882469054595294,3.5882469054595285,-0.027971999999999997,-0.041645375999999845,-0.031228461407999897,0.02986211866819166
0.555,3.6474769146885526,3.647476914688551,-0.028823333333333367,-0.04274028888888881,-0.032141404771604876,0.029991861295381006
0.556,3.70646696493774,3.706466964937739,-0.029674666666666683,-0.04383485155555544,-0.03305439052483944,0.030118426121466202
0.557,3.765217602274367,3.765217602274366,-0.030525999999999998,-0.04492906399999985,-0.033967418395999927,0.030241818032562207
0.558,3.8237293718909893,3.8237293718909875,-0.03137733333333337,-0.04602292622222215,-0.034880488113382624,0.030362041910907744
0.559,3.8820028181064847,3.882002818106482,-0.03222866666666668,-0.04711643822222211,-0.03579359940528387,0.03047910263486886
0.56,3.940038484367104,3.9400384843671032,-0.03308,-0.04820959999999985,-0.036706751999999954,0.030593005078940028
0.561,3.997836913247511,3.9978369132475136,-0.03393133333333337,-0.04930241155555548,-0.0376199456258271,0.030703754113745263
0.562,4.055398646451812,4.0553986464518115,-0.034782666666666684,-0.050394872888888775,-0.03853318001106165,0.030811354606041008
0.563,4.112724224814587,4.112724224814587,-0.035633999999999943,-0.051486983999999736,-0.03944645488399984,0.030915811418717354
0.564,4.169814188301961,4.169814188301964,-0.03648533333333326,-0.052578744888888584,-0.04035976997293811,0.03101712941080026
0.565,4.226669076012614,4.226669076012615,-0.03733666666666663,-0.05367015555555532,-0.04127312500617264,0.031115313437452552
0.566,4.283289426178796,4.283289426178799,-0.038187999999999944,-0.054761215999999724,-0.042186519711999826,0.03121036834997637
0.567,4.339675776167417,4.339675776167418,-0.03903933333333326,-0.055851926222221904,-0.0430999538187159,0.03130229899581494
0.568,4.395828662481031,4.395828662481032,-0.03989066666666663,-0.05694228622222197,-0.04401342705461708,0.031391110218554785
0.569,4.451748620758892,4.451748620758892,-0.040741999999999945,-0.058032295999999706,-0.044926939147999834,0.03147680685792631
0.57,4.507436185777976,4.507436185777977,-0.04159333333333326,-0.05912195555555522,-0.04584048982716027,0.03155939374980643
0.571,4.562891891454033,4.562891891454032,-0.04244466666666663,-0.060211264888888616,-0.04675407882039484,0.03163887572622048
0.572,4.618116270842577,4.6181162708425765,-0.043295999999999946,-0.06130022399999968,-0.047667705855999776,0.03171525761534422
0.573,4.673109856139951,4.673109856139952,-0.04414733333333326,-0.062388832888888635,-0.04858137066227142,0.03178854424150401
0.574,4.727873178684357,4.727873178684356,-0.04499866666666663,-0.06347709155555536,-0.04949507296750599,0.03185874042518122
0.575,4.782406768956832,4.782406768956833,-0.045849999999999946,-0.06456499999999976,-0.050408812499999844,0.03192585098301104
0.576,4.836711156582346,4.836711156582345,-0.04670133333333326,-0.06565255822222194,-0.0513225889880492,0.031989880727787856
0.577,4.890786870330774,4.890786870330774,-0.04755266666666663,-0.066739766222222,-0.05223640215995051,0.03205083446846335
0.578,4.944634438117942,4.944634438117942,-0.04840399999999995,-0.06782662399999972,-0.05315025174399979,0.032108717010151167
0.579,4.998254387006644,4.998254387006644,-0.04925533333333326,-0.06891313155555523,-0.0540641374684937,0.03216353315412668
0.58,5.051647243207676,5.051647243207673,-0.05010666666666663,-0.06999928888888862,-0.05497805906172826,0.03221528769783011
0.581,5.10481353208084,5.104813532080839,-0.05095799999999995,-0.07108509599999968,-0.0558920162519998,0.03226398543486808
0.582,5.157753778135973,5.157753778135972,-0.05180933333333326,-0.07217055288888863,-0.056806008767604776,0.03230963115501484
0.583,5.210468505033977,5.210468505033975,-0.05266066666666663,-0.07325565955555535,-0.05772003633683931,0.03235222964421447
0.584,5.262958235587822,5.262958235587821,-0.05351199999999995,-0.07434041599999974,-0.05863409868799985,0.032391785684582675
0.585,5.315223491763563,5.31522349176356,-0.054363333333333264,-0.07542482222222191,-0.05954819554938251,0.03242830405440933
0.586,5.367264794681376,5.367264794681376,-0.055214666666666634,-0.07650887822222197,-0.06046232664928375,0.032461789528158036
0.587,5.419082664616561,5.419082664616561,-0.05606599999999995,-0.07759258399999969,-0.06137649171599979,0.03249224687647079
0.588,5.470677621000549,5.470677621000547,-0.056917333333333264,-0.0786759395555553,-0.06229069047782698,0.03251968086616741
0.589,5.5220501824219275,5.522050182421929,-0.05776866666666658,-0.07975894488888868,-0.06320492266306155,0.032544096260248456
0.59,5.573200866627475,5.573200866627475,-0.058620000000000005,-0.08084159999999974,-0.06411918799999983,0.03256549781789775
0.591,5.624130190523109,5.6241301905231085,-0.05947133333333332,-0.08192390488888857,-0.06503348621693816,0.032583890294482276
0.592,5.67483867017497,5.674838670174974,-0.060322666666666636,-0.08300585955555528,-0.06594781704217267,0.03259927844155497
0.593,5.725326820810403,5.725326820810401,-0.06117399999999995,-0.08408746399999978,-0.06686218020399992,0.032611667006856804
0.594,5.775595156818939,5.775595156818939,-0.062025333333333266,-0.08516871822222205,-0.06777657543071591,0.03262106073431925
0.595,5.825644191753355,5.825644191753352,-0.06287666666666658,-0.08624962222222199,-0.0686910024506171,0.032627464364063385
0.596,5.875474438330647,5.875474438330646,-0.063728,-0.0873301759999997,-0.06960546099199982,0.032630882632404656
0.597,5.925086408433052,5.925086408433052,-0.06457933333333332,-0.08841037955555542,-0.0705199507831602,0.03263132027185245
0.598,5.974480613109038,5.974480613109038,-0.06543066666666664,-0.08949023288888869,-0.0714344715523948,0.0326287820111143
0.599,6.023657562574335,6.0236575625743365,-0.06628199999999995,-0.09056973599999973,-0.07234902302799973,0.03262327257509512
0.6,6.072617766212919,6.072617766212923,-0.06713333333333327,-0.09164888888888867,-0.07326360493827133,0.032614796684900416
0.601,6.121361732578025,6.121361732578023,-0.06798466666666658,-0.09272769155555538,-0.07417821701150595,0.03260335905783729
0.602,6.169889969393127,6.1698899693931235,-0.06883600000000001,-0.09380614399999976,-0.07509285897599982,0.0325889644074181
0.603,6.218202983552982,6.218202983552985,-0.06968733333333332,-0.09488424622222202,-0.07600753056004916,0.03257161744335957
